,,كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه کلاس درس,نام كلاس درس,زمانبندي تشکيل کلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاکنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ کلاس,گروه آموزشی,دانشکده,واحد,استان
,51,5990156372,کارآموزی,كارآموزي,0,2,777703,,,سمیه حق طلبی,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,52,5990156372,کارآموزی,كارآموزي,0,2,777702,,,محبوبه اقتصاد,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,53,5990156372,کارآموزی,كارآموزي,0,2,777701,,,علی حیدر زادگان,,5,,,,کاردانی پیوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي کامپيوتر و فناوري اطلاعات(7116330),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,54,7000009806,پروژه,عملي,0,3,17061592,,,حیدر ایزد نشان,,10,,,,كارشناسي پيوسته,حضوري,ارائه در سطح استان,,گروه آموزشي مهندسي فوتونيک و اپتيک(7119883),198 - مرودشت(198),198 - مرودشت(71198),71 - فارس(71)
,55,7000009595,ایمنی لیزر,نظري,1,0,17061591,,دوشنبه از 16:00 تا 19:00,حیدر ایزد نشان,,10,,,,كارشناسي پيوسته,حضوري,ارائه در سطح استان,,گروه آموزشي مهندسي فوتونيک و اپتيک(7119883),198 - مرودشت(198),198 - مرودشت(71198),71 - فارس(71)
,56,100002,کارآموزی طرح پویش (3) کاردانی و کارشناسی,طرح پویش,0,2,1639907356,,,الهام خوشاب,,50,,,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي مهارتي فرهنگ و هنر(7116394),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,57,100001,کارآموزی طرح پویش (2) کاردانی و کارشناسی,طرح پویش,0,2,1639907348,,,الهام خوشاب,,50,,,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,58,100000,کارآموزی طرح پویش (1) کاردانی و کارشناسی,طرح پویش,0,2,1639907347,,,الهام خوشاب,,50,,,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,59,1050156433,کارآموزی 2,كارآموزي,0,2,1639907346,,,الهام خوشاب,,15,,,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,60,100001,کارآموزی طرح پویش (2) کاردانی و کارشناسی,طرح پویش,0,2,1639907355,,,الهام خوشاب,,50,,,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي مهارتي فرهنگ و هنر(7116394),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,61,100000,کارآموزی طرح پویش (1) کاردانی و کارشناسی,طرح پویش,0,2,1639907354,,,الهام خوشاب,,50,,,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي مهارتي فرهنگ و هنر(7116394),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,62,1663156372,کارآموزی,كارآموزي,0,2,1639907353,,,سید محمد حجی خراسانی.,,10,,,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي مهارتي فرهنگ و هنر(7116394),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,63,1663156372,کارآموزی,كارآموزي,0,2,1639907352,,,الهام خوشاب,,10,,,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي مهارتي فرهنگ و هنر(7116394),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,64,1388166015,کارورزی 2,كارورزي,0,2,1639907351,,,سید محمد حجی خراسانی.,,15,,,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي مهارتي فرهنگ و هنر(7116394),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,65,1499166014,کارورزی 1,كارورزي,0,2,1639907350,,,الهام خوشاب,,15,,,,کارداني ناپیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي مهارتي فرهنگ و هنر(7116394),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,66,100002,کارآموزی طرح پویش (3) کاردانی و کارشناسی,طرح پویش,0,2,1639907349,,,الهام خوشاب,,50,,,,کاردانی پیوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي بهداشت(7116386),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,67,90763,تفسیر موضوعی قرآن,نظري,2,0,1639076308,خواهران,يكشنبه از 12:30 تا 17:30,سیدمحمدحسین معزی,,50,,1404/05/28 از 14:30 تا 15:30,دانشکده علوم انسانی-210,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,68,99041,تاریخ تحلیلی صدر اسلام‌,نظري,2,0,1639904104,برادران,يكشنبه از 07:15 تا 12:15,اسفندیار احمدی,,34,,1404/05/29 از 14:30 تا 15:30,دانشکده علوم انسانی-109,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,69,99041,تاریخ تحلیلی صدر اسلام‌,نظري,2,0,1639904103,خواهران,شنبه از 07:15 تا 12:15,اسفندیار احمدی,,45,,1404/05/29 از 14:30 تا 15:30,دانشکده علوم انسانی-109,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,70,90763,تفسیر موضوعی قرآن,نظري,2,0,1639076307,برادران,يكشنبه از 07:15 تا 12:15,محمد جواد رحمانی,,45,,1404/05/25 از 14:30 تا 15:30,دانشکده علوم انسانی-106,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,71,99073,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907310,خواهران,شنبه از 12:30 تا 17:30,ندا رستگاران,,45,,1404/05/25 از 13:00 تا 14:00,دانشکده علوم انسانی-106,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,72,99073,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907309,خواهران,شنبه از 07:15 تا 12:15,ندا رستگاران,,45,,1404/05/25 از 13:00 تا 14:00,دانشکده علوم انسانی-106,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,73,99073,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907308,برادران,شنبه از 12:30 تا 17:30,عبدالحمید غریب نواز,,45,,1404/05/25 از 13:00 تا 14:00,دانشکده علوم انسانی-105,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,74,99073,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907307,برادران,شنبه از 07:15 تا 12:15,عبدالحمید غریب نواز,,45,,1404/05/25 از 13:00 تا 14:00,دانشکده علوم انسانی-105,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,75,99073,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907306,برادران,يكشنبه از 12:30 تا 17:30,عبدالحمید غریب نواز,,45,,1404/05/25 از 13:00 تا 14:00,دانشکده علوم انسانی-105,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,76,99073,اندیشه های امامین انقلاب اسلامی و وصایای حضرت امام خمینی(ره),نظري,1,0,1639907305,برادران,يكشنبه از 07:15 تا 12:15,عبدالحمید غریب نواز,,45,,1404/05/25 از 13:00 تا 14:00,دانشکده علوم انسانی-105,كارشناسي پيوسته,حضوري,ارائه در سطح دانشکده,,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,77,55001,ریاضیات پایه(پیش نیاز دانشگاهی),نظري,2,0,163543323,,,,,0,,1404/06/01 از 10:00 تا 12:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي رياضيات و علوم کامپيوتر(7116314),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,78,55001,ریاضیات پایه(پیش نیاز دانشگاهی),نظري,2,0,163543322,,,,,0,,1404/06/01 از 10:00 تا 12:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي رياضيات و علوم کامپيوتر(7116314),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,79,55001,ریاضیات پایه(پیش نیاز دانشگاهی),نظري,2,0,163543321,,,,,0,,1404/06/01 از 10:00 تا 12:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي رياضيات و علوم کامپيوتر(7116314),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,80,7000031529,معادلات دیفرانسیل,نظري,3,0,163543320,,,,,0,,1404/06/01 از 10:00 تا 12:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي رياضيات و علوم کامپيوتر(7116314),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
,81,7000031529,معادلات دیفرانسیل,نظري,3,0,163543319,,,,,0,,1404/06/01 از 10:00 تا 12:00,,كارشناسي پيوسته,حضوري,ارائه در سطح گروه آموزشی,,گروه آموزشي رياضيات و علوم کامپيوتر(7116314),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71)
